"id","name","vision","composure","acceleration","speed","stamina","strength","balance","agility","jumping","heading"
69,"Romelu Lukaku",70,84,81,89,80,93,48,62,71,83
70,"Christian Eriksen",88,82,78,74,88,52,81,77,57,52
71,"Ilkay Gündogan",87,86,77,74,73,74,83,85,62,49
72,"Toby Alderweireld",64,81,63,69,75,81,49,60,83,83
73,"Willian",83,74,92,86,86,61,82,87,46,29
74,"Miralem Pjanic",88,84,75,75,79,65,79,79,61,60
75,"Juan Mata",87,85,75,63,74,43,89,89,72,63
76,"Javi Martinez",74,83,49,53,62,84,58,54,77,86
77,"Dimitri Payet",87,86,79,75,73,76,81,80,48,59
78,"Dries Mertens",81,75,93,87,76,42,92,94,60,35
79,"Sokratis",52,82,73,83,74,86,67,63,84,84
80,"Marek Hamšik",86,77,75,77,83,69,63,76,72,74
81,"Blaise Matuidi",75,85,79,79,94,78,79,77,83,73
82,"Stéphane Ruffier",49,57,45,50,37,76,55,51,72,12
83,"Laurent Koscielny",56,80,78,80,77,76,62,70,86,84
84,"Filipe Luís",70,78,77,83,91,74,60,74,62,68
85,"Vincent Kompany",59,85,68,69,68,87,42,60,73,84
86,"Aymeric Laporte",52,68,68,71,73,84,55,49,77,85
87,"Yannick Carrasco",74,66,87,89,74,59,71,91,68,53
88,"Carvajal",57,69,78,85,84,75,79,82,76,65
89,"Riyad Mahrez",79,82,86,79,77,57,82,92,59,45
90,"Raphaël Varane",56,66,80,83,70,84,47,58,79,83
91,"Mauro Icardi",64,76,78,80,72,76,76,75,90,84
92,"Lorenzo Insigne",85,72,94,86,77,44,93,96,55,56
93,"Isco",84,76,76,69,71,59,82,83,64,55
94,"Koke",89,75,74,69,82,75,78,77,61,61
95,"Kostas Manolas",22,75,79,80,79,84,60,69,86,80
96,"Danijel Subašic",52,65,51,54,32,80,37,42,75,13
97,"Nicolás Otamendi",45,74,68,75,78,81,62,71,90,85
98,"Shkodran Mustafi",55,71,67,73,74,81,69,66,85,81
99,"Nemanja Matic",77,85,66,68,90,90,53,57,71,77
100,"Alex Sandro",70,80,83,89,93,79,79,79,79,72
101,"Kamil Glik",23,73,56,63,69,88,55,33,79,84
102,"Douglas Costa",80,73,96,88,77,62,90,91,61,58
103,"Kevin Strootman",84,85,66,69,79,84,68,66,55,68
104,"Nicolás Gaitán",82,80,85,80,71,50,81,87,68,54
105,"Bruno",83,86,52,52,76,77,59,53,66,61
106,"Ivan Perišic",78,80,83,87,86,77,67,78,82,78
107,"David Luiz",69,70,72,73,77,77,56,74,82,82
108,"Sami Khedira",80,84,63,69,79,91,55,59,69,76
109,"Benedikt Höwedes",57,82,63,67,69,81,61,65,82,83
110,"Ralf Fährmann",42,61,38,47,32,79,36,39,72,14
111,"Sergio Asenjo",46,39,59,54,43,73,58,62,73,13
112,"Éver Banega",88,82,75,69,69,67,86,86,59,45
113,"Medhi Benatia",47,78,69,69,69,89,55,59,83,85
114,"Steve Mandanda",55,63,53,43,31,61,36,52,74,13
115,"Dani Alves",78,82,79,83,75,55,87,85,79,72
116,"Arda Turan",86,83,78,68,74,70,77,86,79,70
117,"Javier Mascherano",68,86,67,65,86,74,78,71,75,68
118,"Aduriz",73,87,69,71,66,82,57,53,93,94
119,"Yaya Touré",85,83,69,78,80,91,55,60,65,74
120,"Eric Bailly",41,69,79,83,81,84,65,76,86,79
121,"José María Giménez",27,60,68,72,70,83,51,57,90,79
122,"NGolo Kanté",76,84,83,81,94,76,90,80,79,54
123,"Gerónimo Rulli",58,30,54,48,42,73,50,58,68,12
124,"João Mário",82,85,75,77,88,69,70,81,63,55
125,"André Gomes",83,78,72,66,77,85,64,68,58,69
126,"Marquinhos",51,77,73,74,75,74,68,68,84,80
127,"Carlos Bacca",66,80,83,83,74,76,75,78,77,76
128,"William Carvalho",77,87,52,53,84,88,54,45,68,72
129,"Karim Bellarabi",79,72,91,90,76,68,78,87,75,48
130,"Raheem Sterling",76,74,94,92,75,64,91,90,60,38
131,"Julian Draxler",80,78,77,77,69,67,75,82,76,65
132,"Roberto Firmino",83,76,79,79,86,76,81,82,81,73
133,"Marcos Rojo",57,69,74,74,81,83,63,73,86,85
134,"Kalidou Koulibaly",34,67,69,78,75,93,48,53,78,78
135,"Danilo Pereira",69,83,67,69,89,89,60,58,67,77
136,"Timo Horn",55,20,45,51,31,67,31,50,64,14
137,"Casemiro",72,73,59,62,85,82,57,66,87,74
138,"Vitolo",78,70,83,81,82,81,63,75,70,65
139,"Anthony Lopes",52,55,60,64,33,65,62,65,85,16
140,"Mattia Perin",44,58,57,56,30,52,30,70,75,12
141,"Joel Matip",72,80,67,77,75,80,50,58,65,88
142,"Juan Cuadrado",70,76,91,93,83,59,83,91,75,58
143,"Iago Aspas",68,69,86,80,72,59,77,88,68,78
144,"Marc-André ter Stegen",57,66,38,50,35,79,43,37,82,11
145,"Mario Götze",82,85,73,68,60,67,84,86,62,49
146,"Ander Herrera",86,82,78,68,85,65,84,85,63,60
147,"Javier Pastore",86,75,72,75,68,64,58,85,49,63
148,"Chris Smalling",49,80,76,77,79,87,48,60,75,85
149,"Pedro",74,72,86,80,80,56,82,84,67,55
150,"Giacomo Bonaventura",81,82,81,81,88,69,77,79,69,58
151,"Roman Bürki",50,58,44,52,36,74,52,51,74,17
152,"Oscar",83,79,78,77,76,36,80,86,66,54
153,"Steven NZonzi",77,85,56,62,86,90,31,43,69,79
154,"Aaron Ramsey",80,80,69,69,90,69,75,77,65,58
155,"Mateo Musacchio",64,70,75,70,72,81,59,73,83,81
156,"Ömer Toprak",59,78,75,77,68,78,61,65,82,83
157,"José Callejón",78,79,89,90,92,56,81,85,73,65
158,"Adrien Silva",85,82,64,65,89,62,67,73,56,61
159,"Azpilicueta",68,66,79,79,88,74,73,75,75,73
160,"Sebastian Giovinco",85,88,90,86,75,48,93,93,53,37
161,"Anthony Modeste",62,79,75,79,68,86,61,68,84,86
162,"Mario Mandžukic",62,80,69,75,87,87,55,69,85,90
163,"Adam Lallana",83,80,76,74,89,67,76,83,73,67
164,"Olivier Giroud",75,78,60,58,79,88,52,59,82,88
165,"Rui Patrício",63,53,53,57,45,77,54,61,79,11
166,"Yann Sommer",58,57,48,54,45,68,58,55,69,10
167,"Jonas",83,83,72,70,73,61,67,82,69,81
168,"Kévin Gameiro",76,85,88,86,75,64,77,82,84,67
169,"Claudio Bravo",71,60,58,54,44,70,64,64,81,18
170,"Lukasz Piszczek",72,82,75,80,79,79,67,67,76,74
171,"Jan Vertonghen",65,82,69,66,79,81,55,62,80,82
172,"Asmir Begovic",31,62,52,58,36,80,41,53,38,12
173,"Naldo",59,84,67,73,62,83,42,53,43,93
174,"Daniel Sturridge",74,81,80,82,70,71,64,78,74,73
175,"José Fonte",55,62,55,54,69,83,56,62,73,77
176,"Ezequiel Garay",63,79,50,54,75,85,38,57,71,85
177,"Samir Nasri",83,82,79,78,75,62,92,85,50,42
178,"Gary Cahill",56,77,69,66,68,78,51,62,82,86
179,"Ashley Williams",53,80,68,72,73,86,59,58,86,79
180,"Leighton Baines",76,81,76,75,86,69,85,75,72,74
181,"Kasper Schmeichel",59,41,62,60,35,62,47,62,60,16
182,"Borja Valero",86,80,76,68,76,66,82,80,68,60
183,"Hatem Ben Arfa",80,75,79,77,71,75,79,85,76,65
184,"Joe Hart",42,68,59,60,28,61,32,50,72,10
185,"Juanfran",72,64,78,87,89,74,62,75,68,55
186,"Wesley Sneijder",85,83,72,73,63,57,85,83,27,32
187,"Nani",80,79,86,79,75,62,77,92,46,46
188,"Stephan Lichtsteiner",62,80,79,83,88,75,79,75,75,72
189,"Wayne Rooney",83,89,69,73,84,84,77,77,81,76
190,"Daniele De Rossi",72,82,69,69,79,84,72,69,78,81
191,"José Reina",65,60,50,63,34,72,60,50,73,13
192,"Quaresma",80,79,85,83,68,54,84,89,63,41
193,"Marco Asensio",83,78,81,78,74,62,76,79,58,50
194,"Bernardo Silva",84,82,82,77,80,54,83,85,53,51
195,"Islam Slimani",72,79,69,76,91,85,57,66,87,92
196,"Jonathan Tah",61,70,65,78,60,91,34,48,71,80
197,"Anthony Martial",70,80,92,91,80,80,85,85,80,70
198,"Dele Alli",81,81,77,76,88,70,58,74,65,70
199,"Ederson",60,31,64,62,38,69,40,50,50,14
200,"Mohamed Salah",71,75,92,92,77,60,84,86,70,59
201,"Sadio Mané",77,76,94,92,83,72,85,88,75,53
202,"Lucas Vázquez",82,70,86,81,88,56,79,82,67,51
203,"Franco Vázquez",84,85,62,67,74,78,48,71,54,68
204,"Manu Trigueros",83,73,75,73,81,63,71,79,83,76
205,"Samuel Umtiti",56,66,74,75,80,76,66,68,87,72
206,"Stefan Savic",41,75,60,65,62,77,54,60,85,81
207,"Roque Mesa",75,79,79,78,92,70,89,77,77,32
208,"Loris Karius",45,34,51,50,36,55,43,51,74,14
209,"Alessandro Florenzi",75,79,86,84,92,68,84,87,74,70
210,"Virgil van Dijk",59,87,74,76,72,92,51,57,81,76
211,"Jack Butland",31,59,51,45,35,59,55,55,61,12
212,"Morata",76,78,80,86,68,82,56,62,79,75
213,"Lucas",73,79,95,91,69,56,85,93,71,50
214,"Yevhen Konoplyanka",79,77,89,88,66,58,78,81,66,49
215,"Francesco Acerbi",59,83,65,64,69,84,41,33,68,77
216,"Nolito",81,82,79,76,74,62,81,84,63,45
217,"Granit Xhaka",86,73,48,54,79,76,62,55,40,62
218,"Stefan de Vrij",50,82,69,69,69,78,60,62,71,76
219,"Jonathan Viera",87,80,87,77,79,67,84,89,69,41
220,"Pizzi",84,78,83,76,86,61,86,85,67,45
221,"Serge Aurier",71,75,84,85,87,84,78,76,93,77
222,"Grzegorz Krychowiak",71,83,65,71,77,92,52,59,75,83
223,"Kevin Kampl",83,83,86,75,88,47,81,91,67,34
224,"Dejan Lovren",56,75,61,58,70,85,41,54,82,77
225,"Gary Medel",72,78,77,76,88,78,92,78,92,68
226,"Idrissa Gueye",72,80,80,77,88,76,83,75,85,69
227,"Víctor Ruíz",56,66,57,62,75,85,58,56,78,77
228,"Ricardo Rodríguez",74,81,73,74,76,73,73,75,75,68
229,"Xherdan Shaqiri",79,79,89,84,78,73,94,87,63,37
230,"Ciro Immobile",59,81,79,85,73,76,63,77,78,75
231,"Nathaniel Clyne",64,75,86,86,87,71,76,84,67,66
232,"Iborra",74,73,54,54,79,88,38,54,68,81
233,"Jack Wilshere",85,80,78,73,82,66,87,83,67,58
234,"Shinji Kagawa",80,81,83,66,80,39,92,92,66,44
235,"Kevin Trapp",45,48,45,52,45,73,37,42,75,11
236,"Taison",79,75,93,91,70,62,83,89,62,58
237,"Kyle Walker",69,75,87,93,90,77,73,70,83,74
238,"Marlos",78,84,85,82,80,62,84,92,68,53
239,"Luiz Gustavo",69,72,68,67,81,80,62,66,75,75
240,"Giuliano",81,82,83,79,74,72,85,85,61,59
241,"Gylfi Sigurðsson",84,80,67,69,83,67,62,72,70,60
242,"Yacine Brahimi",78,86,86,75,75,50,87,93,72,46
243,"Marko Arnautovic",80,77,78,78,79,85,57,76,68,72
244,"Jordan Henderson",82,78,76,73,93,76,71,74,81,65
245,"Orestis Karnezis",47,22,44,34,33,66,49,45,64,24
246,"Mamadou Sakho",49,73,55,68,72,90,55,61,82,71
247,"Adil Rami",22,75,54,63,63,90,50,57,76,79
248,"Fernando Néstor Muslera",58,63,60,62,45,68,62,68,84,12
249,"Vedran Corluka",60,78,49,65,80,84,46,57,80,83
250,"Edin Džeko",70,76,68,65,72,82,42,58,66,80
251,"Séamus Coleman",70,76,79,79,90,73,74,77,72,67
252,"Javier Hernández",72,81,86,79,75,58,84,81,85,82
253,"Beñat",84,73,65,55,80,70,74,70,59,47
254,"Lars Bender",76,83,66,69,88,76,66,65,77,78
255,"Axel Witsel",78,86,67,74,85,79,60,82,72,77
256,"Morgan Schneiderlin",73,81,69,66,90,77,71,73,72,71
257,"Kevin Mirallas",67,74,87,86,76,61,74,83,73,64
258,"Carlos Vela",79,79,87,83,70,68,79,86,69,64
259,"Emiliano Viviano",60,64,30,33,29,58,32,35,66,13
260,"Antonio Valencia",71,85,87,85,89,85,87,74,68,64
261,"Gonzalo Castro",83,83,76,72,78,65,83,83,75,52
262,"Falcao",68,85,75,68,68,73,75,85,92,90
263,"Diego Alves",64,70,55,54,43,67,57,69,79,20
264,"Andrea Consigli",46,50,48,34,31,51,40,57,80,10
265,"João Moutinho",82,86,75,67,85,64,84,81,77,68
266,"Moussa Dembélé",76,86,78,77,82,90,71,83,77,68
267,"Michael Krohn-Dehli",86,73,70,69,71,66,78,76,58,50
268,"Loïc Perrin",63,80,67,72,79,79,73,65,84,80
269,"Lucas Biglia",80,80,74,69,80,72,78,76,62,54
270,"Benoît Costil",44,53,49,53,28,65,45,38,49,15
271,"Raúl Albiol",49,73,60,62,62,82,56,55,77,77
272,"Mario Gómez",62,85,68,75,69,86,55,64,76,83
273,"Gabi",79,83,62,65,83,69,73,73,60,51
274,"Diego López",53,69,34,52,42,66,47,48,68,10
275,"Raffael",83,79,77,72,76,63,83,84,71,63
276,"Alejandro Gómez",79,74,94,86,78,48,94,92,70,36
277,"Gonzalo Rodríguez",64,76,68,68,66,80,60,64,86,86
278,"Vincent Enyeama",58,24,50,54,35,71,59,60,80,10
279,"Kaká",86,85,67,69,55,70,64,69,55,52
280,"Fernandinho",75,64,77,77,82,73,79,79,72,55
281,"David Villa",71,83,75,72,73,66,75,76,67,66
282,"Victor Valdés",38,70,39,45,34,71,53,58,80,11
283,"Per Mertesacker",58,87,26,28,61,87,28,29,32,86
284,"Patrice Evra",62,80,79,73,69,69,87,79,89,80
285,"Xabi Alonso",87,83,32,33,62,69,66,53,46,72
286,"Michael Carrick",85,85,53,52,69,66,63,58,72,73
287,"Andrea Pirlo",94,93,47,33,55,59,64,44,33,39
288,"Casillas",65,70,59,57,43,70,46,62,77,25
289,"Ousmane Dembélé",78,72,93,91,73,47,78,87,59,43
290,"Corentin Tolisso",77,74,74,75,86,79,73,74,89,82
291,"Marcelo Brozovic",81,78,75,75,83,62,75,75,69,62
292,"Federico Bernardeschi",78,74,83,83,82,62,72,83,54,48
293,"Niklas Süle",30,69,51,68,65,93,33,33,38,80
294,"Domenico Berardi",77,71,85,85,80,65,73,87,66,62
295,"Morgan Sanson",83,75,77,77,79,76,69,83,75,69
296,"Samu Castillejo",80,65,87,87,61,45,79,84,64,43
297,"Adrien Rabiot",81,81,73,70,79,77,53,76,76,75
298,"Leon Goretzka",78,77,77,84,84,68,72,76,67,73
299,"Quincy Promes",81,68,86,91,81,61,78,87,82,60
300,"Andrea Belotti",61,75,80,82,84,85,75,79,83,81
301,"Jonas Hector",70,81,76,77,84,76,68,71,61,73
302,"Mateo Kovacic",88,70,86,78,78,65,70,77,62,42
303,"Sergio Rico",45,29,50,53,31,67,61,62,63,11
304,"Oleg Shatov",81,76,85,90,73,66,78,83,59,55
305,"Jorginho",83,75,77,77,83,58,74,82,61,56
306,"Florian Thauvin",78,72,84,78,72,62,72,82,64,69
307,"Michy Batshuayi",63,81,81,84,65,82,78,84,81,73
308,"Iñigo Martínez",46,61,71,72,74,78,64,67,89,76
309,"Suso",80,76,82,81,78,50,84,86,55,50
310,"Deulofeu",72,66,89,92,76,59,77,93,72,40
311,"Felipe Anderson",78,60,94,91,79,55,88,90,49,44
312,"Jasper Cillessen",60,70,54,50,40,67,50,48,71,12
313,"Wissam Ben Yedder",76,82,86,84,77,57,86,91,85,74
314,"Lucas Pérez",76,76,78,78,74,73,75,74,65,68
315,"Ross Barkley",81,80,80,80,74,79,59,70,63,65
316,"Cédric Bakambu",73,73,87,88,74,80,69,81,78,71
317,"Bartra",75,73,78,76,65,68,69,69,86,78
318,"André Schürrle",76,75,87,86,82,66,78,79,72,63
319,"Roberto Pereyra",82,78,81,81,83,64,75,82,65,60
320,"Mario Gaspar",57,61,81,84,88,79,60,69,73,64
321,"Fabián Orellana",77,75,86,80,62,45,55,90,69,69
322,"Lukáš Hrádecký",53,48,37,44,34,55,39,43,69,11
323,"Daley Blind",79,86,65,58,86,73,75,73,71,71
324,"De Marcos",66,76,85,91,93,74,74,77,78,59
325,"Wilfried Bony",65,83,69,75,78,94,72,67,86,84
326,"Iturraspe",81,65,58,61,70,80,45,53,52,78
327,"Parejo",84,69,56,55,76,72,68,69,56,63
328,"Salomón Rondón",53,75,76,77,68,91,48,72,72,88
329,"Daniel Carriço",62,81,57,60,72,77,68,59,91,80
330,"Bas Dost",60,78,54,66,84,87,35,37,55,92
331,"James McCarthy",72,77,75,69,91,78,71,66,66,63
332,"Camacho",79,72,64,59,84,78,63,71,85,83
333,"Paulinho",75,79,76,78,92,69,64,70,88,80
334,"Alan Dzagoev",81,70,78,75,90,65,72,71,74,67
335,"Igor Smolnikov",76,63,84,90,93,68,76,80,85,69
336,"Lars Stindl",80,83,73,68,82,70,78,71,73,67
337,"Mario Balotelli",70,64,76,78,60,85,50,69,75,66
338,"Wojciech Szczesny",41,68,50,40,38,61,46,55,38,16
339,"Nikola Kalinic",66,78,69,78,79,78,58,69,68,80
340,"Mikel San José",77,57,44,54,80,79,55,46,77,82
341,"Christian Benteke",73,78,75,79,77,90,48,74,82,86
342,"Marco Parolo",78,78,69,76,88,79,71,69,77,75
343,"Ljubomir Fejsa",62,67,52,53,86,83,56,56,73,73
344,"Martín Cáceres",58,76,79,83,75,75,79,81,93,76
345,"Georginio Wijnaldum",76,79,79,85,87,70,80,82,82,74
346,"Federico Fazio",47,83,33,32,69,89,33,29,44,88
347,"Simon Kjær",49,65,60,69,78,83,58,48,62,82
348,"Loïc Rémy",71,76,87,86,73,74,65,77,89,80
349,"Miguel Layún",71,78,82,83,86,67,77,78,75,66
350,"Adán",35,57,55,55,35,77,51,55,71,23
351,"Benoît Trémoulinas",70,76,82,82,87,63,78,81,74,67
352,"Sven Bender",65,82,64,67,87,76,62,62,75,75
353,"Mathieu Valbuena",78,64,85,82,73,35,93,91,60,50
354,"Bojan",84,79,79,75,67,45,84,83,48,42
355,"Augusto Fernández",82,81,67,71,79,73,75,75,59,59
356,"Antonio Candreva",82,80,79,81,86,73,76,75,40,55
357,"Davide Astori",46,74,67,69,69,80,54,58,80,77
358,"Raúl García",82,83,55,61,61,82,63,65,73,88
359,"Giovani dos Santos",70,78,87,86,68,45,90,89,65,61
360,"Erik Lamela",81,73,81,77,82,57,71,78,64,71
361,"Ryan Shawcross",50,62,54,54,79,88,57,62,72,84
362,"Danny Rose",73,74,81,84,83,72,76,73,71,60
363,"Renato Augusto",81,68,66,69,71,78,66,66,49,57
364,"Martin Škrtel",28,71,54,68,75,85,52,52,75,83
365,"Theo Walcott",73,78,92,93,75,62,79,83,66,58
366,"Bacary Sagna",59,84,75,74,84,81,76,68,84,79
367,"Dante",62,77,53,55,63,82,64,54,65,83
368,"Salomon Kalou",75,79,76,74,69,68,83,77,76,76
369,"André-Pierre Gignac",72,80,75,72,72,88,60,66,70,80
370,"Lukas Podolski",78,79,79,77,67,77,72,69,65,65
371,"Negredo",64,67,64,65,65,88,57,67,79,83
372,"Pablo Zabaleta",66,70,67,68,82,79,66,71,84,76
373,"Darijo Srna",86,81,69,81,81,72,65,71,67,60
374,"Cédric Carrasso",53,60,38,42,31,71,35,39,73,11
375,"Rubén Castro",74,70,80,77,75,61,77,87,76,73
376,"Jérémy Mathieu",42,70,67,75,64,90,39,51,67,83
377,"Carlos Idriss Kameni",40,57,44,45,40,79,57,65,76,13
378,"Moyá",62,39,46,34,30,57,49,54,62,12
379,"Rune Almenning Jarstein",37,56,40,46,31,70,45,35,59,16
380,"Jermain Defoe",67,84,78,77,73,62,88,83,74,68
381,"Thiago Motta",74,80,42,41,72,83,50,47,83,79
382,"Fernando Torres",76,69,76,78,63,76,54,74,75,76
383,"Júlio César",67,68,39,43,35,72,56,69,75,18
384,"Didier Drogba",76,80,64,64,62,86,56,63,76,85
385,"Danny",82,83,83,83,72,56,75,84,70,47
386,"John Terry",59,82,33,34,63,85,46,44,80,90
387,"Samuel Etoo",75,84,73,75,68,70,74,79,85,73
388,"Tiago",82,78,54,55,67,76,56,60,76,75
389,"Gelson Martins",75,84,93,93,80,48,91,94,65,51
390,"Leroy Sané",68,74,92,91,80,63,82,86,66,72
391,"Julian Weigl",78,80,74,69,82,62,63,75,64,63
392,"Nabil Fekir",76,88,81,82,76,76,89,86,70,49
393,"Jean Michaël Seri",84,83,79,78,78,70,86,83,76,60
394,"Williams",75,42,92,95,77,84,45,86,84,67
395,"Marco Sportiello",44,49,48,38,37,66,58,55,68,18
396,"Keita Baldé Diao",72,69,90,92,75,78,77,79,66,58
397,"Nikola Maksimovic",31,70,63,69,68,86,58,54,68,82
398,"Thomas Lemar",78,76,85,82,75,69,84,83,72,54
399,"Kingsley Coman",69,73,94,93,74,58,86,88,73,52
400,"Alisson",65,60,44,35,32,78,37,30,52,19
401,"Joshua Kimmich",79,76,75,67,80,65,82,83,79,70
402,"Julian Brandt",80,59,81,83,68,63,74,81,63,42
403,"Sofiane Boufal",73,71,86,85,70,40,85,90,34,35
404,"Bruma",69,73,94,92,79,55,90,93,78,52
405,"Daniele Rugani",50,70,61,67,69,81,55,61,81,77
406,"Raphaël Guerreiro",79,74,84,75,77,52,85,88,64,61
407,"Fabinho",70,75,74,75,85,77,69,72,72,75
408,"Jamie Vardy",72,78,94,92,90,69,79,77,70,64
409,"Hakim Ziyech",88,69,75,72,72,62,66,76,42,53
410,"Emil Forsberg",81,78,79,72,76,63,84,86,53,45
411,"Saúl",76,80,74,73,81,76,68,75,79,83
412,"Felipe",43,70,64,74,82,78,57,52,92,82
413,"Taras Stepanenko",69,81,71,64,82,78,73,60,71,69
414,"Luke Shaw",65,75,83,88,78,80,75,80,68,67
415,"Leo Baptistao",69,60,79,81,69,72,67,78,70,79
416,"Antonio Rüdiger",57,70,76,78,65,81,50,63,72,77
417,"Matija Nastasic",55,78,66,74,65,78,58,64,81,79
418,"Denis Suárez",81,65,82,80,74,55,76,83,58,44
419,"Kurt Zouma",57,74,69,77,72,85,52,48,86,77
420,"John Brooks",57,77,69,78,64,84,51,60,74,85
421,"Héctor Bellerín",63,67,96,94,84,61,77,84,65,60
422,"Thorgan Hazard",81,78,86,77,77,59,81,91,64,38
423,"Davy Klaassen",75,75,72,73,88,74,63,67,85,75
424,"Valère Germain",78,76,78,79,81,61,77,90,80,79
425,"Paul-Georges Ntep",71,63,90,90,73,74,75,86,49,43
426,"Layvin Kurzawa",75,74,82,76,80,72,75,75,81,76
427,"Rafinha",80,76,76,74,74,66,81,81,73,55
428,"Jeison Murillo",54,72,76,78,74,78,69,78,86,80
429,"Riccardo Saponara",84,76,74,78,75,69,71,72,64,57
430,"Djibril Sidibé",69,75,80,83,88,75,67,69,82,66
431,"Nacho Fernández",53,65,74,72,80,77,67,60,81,79
432,"Josip Ilicic",82,78,69,75,69,68,56,70,34,58
433,"Kevin Volland",80,80,78,77,88,82,84,73,77,69
434,"Allan",79,77,79,76,94,76,82,79,69,59
435,"Pablo Hernández",81,67,74,71,74,80,53,71,69,53
436,"Sergi Roberto",80,67,78,79,79,75,74,69,54,61
437,"Wilfried Zaha",72,75,89,89,78,72,82,86,50,43
438,"Manolo Gabbiadini",72,71,79,79,69,76,56,74,76,73
439,"Josuha Guilavogui",65,74,66,73,77,82,58,54,76,78
440,"Patrick Herrmann",77,70,87,88,64,56,82,86,69,55
441,"Sebastián Coates",43,67,50,66,77,93,32,31,62,80
